Size,ICAO,IATA,City,Name,Max Runway,Lat,Long
Small,YNES,,,Nelson Springs Airport,,-17.3,129.283
Small,YWTL,WLO,,Waterloo Airport,,-16.63,129.32
Small,YKNT,,,Kintore Airport,,-23.265,129.387
Small,YLGU,,,Legune Airport,,-15.217,129.448
Small,YBDU,,,Birrindudu Airport,,-18.383,129.483
Small,YHGS,,,Hughes Siding Airport,,-30.717,129.515
Medium,YPKT,PKT,,PORT KEATS,4626 ft,-14.25,129.529
Small,YKIL,,,Kildurk Airport,,-16.432,129.615
Small,YTMN,,,Tanami Airport,3000 ft,-19.917,129.725
Small,YTAN,,,Tanami Downs Airport,,-20.574,129.74
Small,YBVY,,,Bullo River Valley Airport,,-15.467,129.767
Small,YPUA,,,Palumpa Airport,,-14.333,129.867
Small,YLIM,,,Limbunya Station Airport,,-17.25,129.883
Small,YLSY,,,Mount Lindsay Airport,,-27.018,129.885
Small,YSUJ,,,Supplejack Downs Airport,,-19.267,129.95
Small,YAUV,AVG,,Auvergne Airport,,-15.7,130
Small,YRBT,,,Rabbit Flat Airport,,-20.183,130.017
Small,YRVE,,,Riveren Airport,,-17.9,130.217
Small,YNYP,,,Nypari Airport,,-26.2,130.233
Small,YTGT,,,The Granites Airport,,-20.548,130.347
Small,YANJ,,,Angatja Airport,,-26.1,130.4
Small,YOOK,,,Cook Airport,,-30.618,130.406
Medium,YGPT,GPN,,GARDEN POINT,4314 ft,-11.402,130.422
Small,YTBR,TBK,,Timber Creek Airport,3000 ft,-15.62,130.445
Small,YMSF,MTD,,Mount Sanford Station Airport,,-16.978,130.555
Small,YNRR,,,Nyrripi Airport,,-22.645,130.565
Medium,YBTI,BRT,,BATHURST ISLAND,4823 ft,-11.769,130.62
Small,YHBR,HUB,,Humbert River Airport,,-16.49,130.63
Small,YHOO,HOK,,Hooker Creek Airport,5100 ft,-18.337,130.638
Medium,YSNB,SNB,,SNAKE BAY,4734 ft,-11.423,130.654
Small,YDLV,DLV,,Delissaville Airport,2800 ft,-12.55,130.685
Small,YDMN,DVR,,Daly River Airport,,-13.75,130.694
Small,YKKG,KFG,,KALKGURUNG,4101 ft,-17.432,130.808
